یہودیو,yahodiyo
شفا,Shifa
شدت,shiddat
شیطان,shetan
شِعریٰ,sheri
شیریں,sheree
شیر,sher
شیخی,shekhi
شہوت,shehwat
شہروں,shehron
شہر,shehar
شہد,shehad
ستایا,sheh
چھاپا,sheeshon
شیشے,sheeshay
شیطانی,shaytani
جلوہ,shayron
شیاطین,shayateen
شاعر,shayar
شایان,Shayan
شاید,shayad
شرط,shart
ڈرتی,sharmaata
شریعت,Shariat
شرف,Sharf
شریر,shareer
شریک,shareek
شرارت,shararat
شرمگاہوں,sharamgahon
شرم,sharam
شرعی,sharai
شراب,sharaab
شرع,shara
شر,shar
شق,shaqq
شاق,shaq
شعور,shaoor
پیرا,shamiyane
شامت,shamat
شاکر,Shakir
شخصوں,shakhson
شخص,shakhs
شکل,shakal
شک,shak
شیطانوں,shaitano
شعر,shair
شے,shai
شاہد,Shahid
شہید,shaheed
شہادت,shahadat
حیائیپر,shagoon
شفاعت,Shafaat
شادمانی,shadmani
شدید,shadeed
شبیہ,Shabeeh
شبانہ,Shabana
شب,shab
شان,shaan
واقعی,shaamil
شام,shaam
شاخیں,shaakhen
شاد,shaad
ستارے,setaaray
سرا,serra
سیلاب,selaab
سہنے,sehney
سہمے,sehmey
صحت,sehat
کھولیں,sehan
سیٹی,seeti
سیسہ,seesa
سینوں,seenon
سینگ,seeng
سینے,seenay
سینہ,seenah
سینا,seena
سٓ,seen
سیکھتے,seekhnay
سیکھنا,seekhna
سکھائیں,seekhiye
سیکھا,seekha
سیکھ,seekh
سیڑھیاں,seedhiyan
سیدھی,seedhi
سیدھے,seedhay
سیدھا,seedha
صدیق,Seddiq
سے,se
سچوں,schon
صبرو,sbro
سزائیں,sazayen
سزاوار,sazawar
سزا,saza
سائلوں,saylon
سایہ,saya
سواروں,sawaron
سواری,sawari
سوال,sawal
ثواب,sawab
سوار,sawaar
سواع,Sawa
سودے,saudey
سترّ,sattar
ستر,sattar
ستونوں,satonon
ساتوں,saton
سکتے,satke
ساتھیوں,sathiyon
ساتھ,sath
بڑوں,satayi
ستائے,sataye
چڑھتا,sataya
ستاتے,satatay
ستانا,satana
سسرال,sasural
سرزمین,sarzamen
سرسری,sarsari
سرکشوں,sarkashon
سرکش,sarkash
صریح,Sarih
سرحد,sarhad
سرگوشی,sargoshi
سرغنہ,sargana
سردی,sardi
سرداروں,sardaro
سردار,sardar
سراہتے,sarahtay
سراہے,sarahay
صراحةً,sarahat
سراہا,saraha
سارا,sara
سرکشی,sar kashi
سَر,sar
ثقہ,Saqha
سپید,saped
صعود,Saood
سنورے,sanwre
سنورنے,sanwarne
سنوارنے,sanwarnay
سنوارنا,sanwarna
سنواری,sanwari
سنواریں,sanwarain
سنور,sanwar
سردارو,sanwaar
سنوارا,sanvara
سنتا,santa
گیروں,sangsar
سنگدل,sangdil
سنگتیں,sangatain
سنگت,sangat
صندوق,sandooq
سنبھالا,sanbhala
سند,sanad
ثنا,Sana
ثناء,sana
سامری,samri
ثمود,samood
سلسلہ,samndron
سامنے,samnay
سامناہو,samnaho
سمجھتی,samjhti
سمجھتا,samjhta
سمجھو,samjhoo
سمجھنا,samjhna
چکنا,samjhi
مغفرت,samjhaye
سمجھے,samjhay
سمجھاؤ,samjhao
سمجھانے,samjhane
سمجھیں,samjhain
سمجھانا,samjhaana
سمجھا,samjha
سمیٹتے,samettay
سمیٹا,sameta
سنبھالے,sambhale
سنبھالنے,sambhalay
سمندر,samandar
سمجھتے,samajte
سمجھنے,samajhney
سمجھاتا,samajhata
سمجھ,samajh
سمیٹ,samaitt
سمیت,samait
سمائی,samai
سمائے,samaaye
سامان,samaan
سما,sama
سلویٰ,salwa
سلوی,Salwa
سلطنت,saltanat
سلسبیل,Salsabeel
صالح,Saleh
سلامتی,salamti
سلامت,salamat
سلام,salam
صلاح,Salah
سکتی,sakti
سکتیں,sakteen
سکتا,sakta
سکت,sakt
سکوں,sakoo
سکو,sako
سختیوں,sakhtiyon
سختی,sakhti
سمندروں,sakhta
سخت,sakht
سکیں,saken
سکینہ,sakeena
سکے,sakay
سکھاتا,sakata
سکا,saka
سجود,Sajood
ساجھا,sajha
سجدوں,sajdon
سجدہ,sajda
سجل,Sajal
سیر,sair
سائبان,saibaan
صاحب,sahib
صحیفوں,saheefon
صحیفے,saheefay
شہ,sahbzadyon
سہارا,sahara
سہل,sahal
صفیں,safen
سفیدی,safedi
سفر,safar
سفید,safaid
صفائی,safai
صفا,Safa
صف,saf
صدقے,sadqy
صدقہ,sadqa
صدمہ,sadma
گلوں,sadir
صدیقہ,Sadiqa
سدھایا,sadhaeya
آرہا,sachiyaan
سچی,sachhi
سچے,sachey
سچا,sacha
سچ,sach
سبزی,sabzi
سبزے,sabzay
سبزہ,sabza
سبز,sabz
صبرا,sabra
صبر,sabr
سبقت,Sabqat
صابر,sabir
سبیل,Sabeel
سبب,sabab
ثبات,Sabaat
السجد,Saba
سب,sab
پوجنا,saayon
سائے,saaye
ساتھی,saathi
ساٹھ,saath
ستا,saata
سات,saat
ساری,saari
سارے,saaray
ساق,saaq
سانپ,saanp
سامنا,saamna
سالن,saalan
سال,saal
ساکن,saakin
ساجھی,saajhi
ساگ,saag
صاف,saaf
سادھا,saadha
ثابت,saabit
سا,sa
رتبہ,rutba
رسوائی,ruswai
رسوا,ruswa
رستوں,rustoon
روپوں,rupoo
رلایا,rulaya
رکوع,ruku
رکی,ruki
رخصت,rukhsat
رکاوٹ,rukawat
رکا,ruka
رک,ruk
رجوع,rujoo
روگرداں,rugardan
روداد,rudaad
روبرو,rubaroo
رُسوا,rُswa
روزوں,rozon
روزی,rozi
روزگار,rozgaar
روزے,rozay
روزہ,roza
روز,roz
روئے,roye
روئیں,royain
روٹیاں,rotian
روتے,rotay
روزن,rosin
روشنی,roshni
روشن,roshan
رور,ror
روپ,roop
روند,roond
تمسخر,Roomi
روحیں,roohein
روح,rooh
رُو,roo
روندنے,rondnay
روندی,rondi
رونق,ronaqe
روکئے,rokye
روکتے,roktay
روکتا,rokta
روکو,roko
روکنے,roknay
روکنا,rokna
روک,rokkk
روکی,roki
روکے,rokay
روکیں,rokain
روکا,roka
روئی,roi
روحانی,Rohani
روگردانی,rogrdani
سچیاں,rogii
چاہتیں,rog
رعب,roab
رو,ro
رکھوایا,rkhwaya
رخنے,rkhne
رُکے,rُke
رزق,rizaq
ریتا,Rita
رشتوں,rishton
رشتے,rishte
رشتہ,rishta
رسالت,risalat
رند,rind
رگ,rigg
رچ,rich
رعایت,riayat
رگِ,rgِ
ریزہ,rezah
ریلا,reyla
قضا,reshmi
ریشم,resham
رینی,Reni
رہتے,rehtay
رہتا,rehta
رہنے,rehne
رہنا,rehna
رحمت,rehmat
رحمن,Rehman
رحمنٰ,rehman
اناج,rehman
رہن,rehan
رحم,reham
رہ,reh
رضامندی,razamandi
رضامند,razamand
رضا,Raza
رائے,raye
رواں,rawan
روا,rava
راتوں,raton
رتیلی,rateeli
رستے,raste
جوتی,rastay
راستہ,rasta
رستہ,rasta
رسی,rassi
رسولوں,rasoolon
رسولہو,rasooloh
رسول,rasool
رسیاں,rasiyaan
رسا,rasa
رسّا,rasa
رس,ras
رنج,ranj
رنگی,rangi
رنگت,rangat
رنگائی,rangai
رنگ,rang
راندے,rande
رمضان,ramadaan
رکھتی,rakhti
رکھتے,rakhtay
رکھتا,rakhta
رکھوں,rakhon
رکھو,rakho
رکھنے,rakhnay
رکھنا,rakhna
رخنہ,rakhna
رکھی,rakhi
رکھیں,rakhen
رکھے,rakhay
رکھا,rakha
رکھ,rakh
کھیتوں,rait
رائی,rai
رہوں,rahon
رہو,raho
رہنمائی,rahnumai
راہنما,rahnma
رحمتیں,rahmaten
راہب,Rahib
رہی,rahi
راہگیروں,rahgiron
رہیں,rahen
راہیں,rahein
رہے,rahay
رہا,raha
رگوں,ragon
رغبتی,raghbati
رغبت,raghbat
رفتگی,raftagi
رفتہ,rafta
رفیق,Rafeeq
رد,radd
رب,rab
راضی,raazi
راز,raaz
راتیں,raatain
رات,raat
راستوں,raastoon
راستی,raasti
رانگا,raanga
راندہ,raandah
رام,raam
رال,raal
راکھ,raakh
راحت,raahat
راہِ,raah e
راہ,raah
راعنا,ra-ana
قضائے,qzaye
قوتوں,quwatoon
بدکام,quwaten
قریش,Quresh
قربانیاں,qurbaniyan
قربانی,qurbani
قرب,qurb
قربِ,qurb
قرآن,quran
قرعہ,quraa
قدرت,qudrat
قبول,qubool
قرنوں,qrnon
قران,qran
قوت,qowat
قومیں,qoumain
قوم,qoum
قول,qoul
قولِ,qoul
قوموں,qomon
کامی,qlmin
قلعوں,qlaon
قیام,qiyam
قطار,qitaar
قصے,qissay
قصہ,qissa
قسمت,qismat
قسم,qisam
قلعے,qilay
قلعہ,qilah
قیدخانہ,qidkhanh
قبلہ,qibla
قحط,qeht
قیمت,qeemat
کھینچنا,qaza
قیامت,qayamat
قيامت,qayamat
قوی,Qawi
قومی,qaumi
ابتداء,qatrate
خبیث,qatee
قطعے,qatay
قتل,qatal
قتال,qataal
قطع,qata
قصر,qasr
قصور,qasoor
قسموں,qasmon
قصداً,qasdan
قصد,qasad
قرضدار,qarzdaar
اِترانے,qaroon
قریب,qareeb
قريب,qareeb
قراری,qarari
قرار,qarar
قرابت,qaraabat
قانون,qanoon
قنادیز,Qanadeez
قناعت,Qanaat
قلموں,qalmon
قالین,qaleen
قلبی,qalbi
قلم,qalam
قائم,qaim
قیدی,qaidi
قاعدے,qaiday
قید,qaid
قدری,qadri
قدموں,qadmon
قادر,Qadir
قدر,qader
قدم,qadam
قبضہ,qabza
قبض,qabz
قبروں,qabron
قبریں,qabrain
قابو,qaboo
قابلیت,qabliyat
قابل,qabil
قبیلے,qabeeley
قبر,qabar
قبل,qabal
قافلہ,qaafla
قٓ,q
پیاسے,pyase
پیاری,pyari
پیارے,pyare
پیارا,pyara
پیار,pyar
پیالہ,pyalaa
پیاز,pyaaz
پیاس,pyaas
پست,pust
دوبالا,pushti
پشت,pusht
پرندو,purzah
پرسش,pursish
پرانی,purani
پرانا,purana
پکارا,puraka
پورب,purab
پنچ,punch
پختہ,pukhta
پکارتے,pukarte
پکارنے,pukarnay
پکارنا,pukarna
پکارے,pukare
پکارتا,pukaarta
پکاریں,pukaarain
پکار,pukaar
پوجتے,pujte
پجاری,pujari
پہنچے,puhanche
پوچھتا,puchta
پوچھو,pucho
پوچھتے,puchhte
پگھلے,prndo
پڑھائیں,prhhayin
پڑگیا,prhgya
پڑچکی,prhchki
پہنچنے,pounchanay
پہنچا,pouncha
پکارو,poukaro
پوچھے,pouchye
پوچھوں,pouchon
پوچھیں,poucheen
پوتے,potay
پوتا,pota
پوشی,poshi
ریشمی,posheeda
پوشاک,poshak
پوش,posh
پوری,poori
پورا,poora
پور,poor
پورے,poooray
پونجی,poonji
پوجتا,poojta
پوجنے,poojnay
لپک,poojna
پوجیں,poojain
پوجا,pooja
پوچھنے,poochnay
پوچھنا,poochna
پوچھا,poocha
پوچھ,pooch
پہنچاؤ,ponchao
پکڑتا,pokarta
پوجوں,pojoun
پوجو,pojo
پہنچو,pohncho
پہنچاؤں,pohnchaon
پہنچیں,pohnchain
پہنچنا,pohanchna
پہنچی,pohanchi
پہنچائیں,pohanchayen
پہنچائے,pohanchaye
پہنچایا,pohanchaya
ف۱۰۵,pohanchate
پہنچاتا,pohanchata
پہنچانے,pohanchanay
پہنچتا,pohanchana
پہنچائی,pohanchai
پو,po
پیو,piyo
پئیں,piyen
پیئے,piye
پیاسا,piyasa
پیا,piya
پٹ,pitt
پیٹھوں,pithon
پیشانیوں,pishanyon
پیشانیاں,pishanyan
پرو,piro
پنڈلیوں,pindliyon
پنڈلی,pindli
پلائی,pilayi
پلایا,pilaya
پلاتے,pilate
خوار,pilata
پلانے,pilanay
پلائیں,pilain
پلائے,pilaaye
دائیاں,pila
پینا,piinaa
ادر,pighlay
پک,pick
پچھلوں,pichlon
پچھلے,pichlle
پچھلی,pichli
پچھلا,pichla
پچھم,picham
پی,pi
پھونکا,phuunkaa
پھرتی,phurti
پھرگئے,phrgye
پھری,phree
پھوڑ,phore
پھوپھیاں,phophyan
پھوٹا,phoota
پھوٹ,phoot
پھونکوں,phoonko
پھونک,phoonk
پھول,phool
پھونکی,phonki
پھنستا,phnsta
پھسلانا,phislana
پھرتے,phirtay
پھرتا,phirta
پھرو,phiro
پھرنے,phirnay
پھرنا,phirna
پھریں,phiren
پھیردیا,phirdya
پھرے,phiray
پِھرے,phiray
پھرا,phira
پھر,phir
پھیلائیں,philayin
پھیرتے,phertey
پھیرتا,pherte
پھیرو,phero
پھیرنا,pherna
پھیری,pheri
پھیرا,phera
پھینکتی,phenkti
پھینکیں,phenkay
پھینکا,phenka
پھیلایا,phelaya
پھیلاتا,phelata
پھیلاؤ,phelao
پھیلانے,phelanay
پھیلائے,phelaaye
پھیلا,phela
پھینک,pheink
پھیلاتے,pheilatay
پھٹ,phatt
پھٹکار,phatkaar
پھٹے,phatay
پھٹکنا,phatakna
پھٹک,phatak
پھٹا,phataa
پھاڑنے,pharnay
پھانسی,phansi
بہلاووں,phansay
پھندے,phandey
پھندا,phanda
پھلوں,phalon
پھلے,phalay
پھل,phal
پھیرنے,phairnay
پھیریں,phairen
پھیرے,phairay
پھیر,phair
پھیلی,phaily
پھیلے,phailay
پھیلائی,phailai
پھیل,phail
پھاڑ,phaar
پیادہ,peyadah
پیالوں,peyaalon
پیشوائی,peshwai
پیشوا,peshwa
پیشانی,peshani
نمازیوں,pera
پیمانہ,pemana
پہرے,pehray
پھینکی,pehnki
پہنیں,pehnein
پہنایا,pehnaya
پہناوا,pehnawa
پہننا,pehnana
پہلو,pehlu
پہلوں,pehloo
پہلی,pehli
پہلے,pehlay
پہلا,pehla
پہچانتے,pehchante
پہچانتا,pehchanta
پہنچاسکیں,pehchansaken
پہچانی,pehchani
پہچانیں,pehchanen
پہچانے,pehchane
پہچانا,pehchana
پہچان,pehchan
پہر,pehar
پہنتے,pehantay
حسرتوں,pehal
پیٹھ,peeth
پیتے,peetay
پیتا,peeta
پیس,pees
پیروں,peeron
پیپ,peep
پینے,peenay
پیلی,peeli
پیچھے,peechay
پیچھا,peecha
پیدا,peda
پیچے,pechay
پائی,payi
پیغمبروں,payghambaroon
پائیں,payen
پائے,paye
پیام,payam
پیامِ,Payam
پے,pay
پتی,patti
پتے,pattay
پتّا,patta
پتلا,patla
پتھراؤ,pathrao
پتھروں,patharon
پتھر,pathar
پٹھا,patha
پتنگے,patangay
پتہ,pata
پاسکتے,paskte
پشیمان,pasheman
پسندیدہ,pasandeeda
پسند,pasand
پس,pas
پرورش,parwarish
پروانگی,parwangi
پروان,parwan
پرواہ,parwah
پروا,parwa
پروردگار,parvar-digaar
پڑتے,parte
پڑتا,parta
پڑو,parro
پڑیں,parrin
پڑے,parre
پروں,paron
پڑنا,parna
پرلے,parlay
پرکھ,parkh
چیونٹیو,parindon
پرندے,parinday
پرند,parind
پڑی,pari
پڑھتے,parhte
پڑھتا,parhta
پڑھوں,parhon
پڑھو,parho
پڑھنے,parhnay
پڑھنا,parhna
پڑھی,parhi
پڑھیں,parheen
پڑھے,parhay
پڑھانے,parhanay
پرہیزگار,parhaizgaar
پرہیزگاروں,parhaiz garon
پرہیزگاری,parhaiz gari
پرہیز,parhaiz
پڑھا,parha
پڑھ,parh
پریشانی,pareshani
پریشان,pareshan
پردیسی,pardesi
پردے,parday
زید,pardaghi
پردہ,parda
پرچھائیاں,parchaiyan
پرستوں,paraston
پرست,parast
اثر,Parah
چکانے,paragandah
پڑا,para
پرا,para
پڑگئی,par gai
پر,par
پڑ,par
پاؤں,paon
پاؤ,pao
پانسے,panse
پنا,panna
پانی,pani
پند,pand
پانچویں,panchwin
پانچواں,panchawan
پانے,panay
پناہ,panah
پن,pan
پامال,pamaal
پلٹے,palty
پلٹو,paltoo
پلٹا,palta
پلے,pallay
پلہ,palla
پلید,palidh
پلٹتے,palatne
پلٹنے,palatnay
بجھ,palatna
پلٹ,palat
پلک,palak
ناواقف,pal
پکڑو,pakro
پکڑی,pakri
پکڑیں,pakren
پکڑا,pakra
بہلاؤ,paknay
پکنا,pakna
پکا,pakka
پاکیزگی,pakizgee
پاکی,paki
پکی,paki
پکڑلیا,pakerliya
پاکیزہ,pakeeza
پکڑے,pakdae
پکے,pakay
پکڑ,pakar
پکاکر,pakaker
پاک,pak
پیٹوں,paiton
پیٹ,pait
پیش,paish
پیروی,pairwi
پیڑ,pairr
پیرو,pairo
پیمان,Paiman
پَیر,paiir
پیر,paiir
پیغمبر,paighambar
پیغمبری,paigambri
پیدائش,paidaiesh
پہنچتی,pahunchti
پہنچتے,pahunchte
پہنچانا,pahunchana
پہنچوں,pahuchoon
پہرا,pahra
پہاڑوں,pahoron
پہنچ,pahonch
پہنائے,pahnaye
پہچاؤ,Pahchao
پہاڑ,pahar
خُرما,pahannay
پڑتی,padtee
پادریوں,padrion
پچھتائے,pachtaye
پچھتاوے,pachtaway
دسویں,pachtane
پچھتاوا,pachtaawa
پچھتاتے,pachhtatey
جھٹلاؤ,pachaas
پابند,paband
پایا,paaya
صحن,paati
پاتے,paate
پاتا,paata
پاش,paash
پاس,paas
پارسائی,paarsai
پارسا,paarsa
پار,paar
پانچ,paanch
پالنے,paalne
پالا,paala
چرواہے,paal
پادری,paadri
پا,pa
پہناوے,p_hnave
پہناتے,p_hnate
پہاڑیاں,p_harhyan
اوروں,ouron
اَوروں,ouron
اوڑھ,ourh
اونچے,ounchay
اونچا,ouncha
اوگائیں,ougaien
حوضوں,other
اوسط,ost
اوڑھنے,orhanay
اوڑھا,oorha
اوپری,oopri
اوپر,oopar
اونٹنی,oontni
اونٹ,oont
اون,oon
اونٹنیاں,ontniyan
اونجالے,onjalay
اونگھ,ongh
ےٴ,ondha
اونچی,onche
عمرہ,omra
اولے,olay
خوشحبری,ogatay
اوس,oas
و,o
نواسے,nwase
نطفہ,nutfa
نقصان,nuqsaan
نمو,numoo
نتا,nta
نصیحتوں,nsihton
نصیحتیں,nsihtin
نوٹ,note
نوشتہ,noshta
نور,noor
نوح,Nooh
نوکر,nokar
نوجوانوں,nojawanon
نوجوان,nojawan
نو,no
نِکو,nko
نخواہ,nkhwah
نکالتی,nkalti
نیت,niyat
نشانیوں,nishanion
نشانی,nishani
نشانیاں,nishanain
نشانہ,nishana
نشان,nishaan
نسبت,nisbat
نرا,nira
نِرا,nira
ننانوے,ninanway
نکلو,niklo
نکلنے,niklny
نکلیں,nikleen
نکلے,niklay
نکلنا,niklana
نکلا,nikla
نکھارکر,nikkhar kar
نکمی,nikammi
نکالو,nikalu
نکلتی,nikalti
نکالتے,nikaltay
نکلتے,nikaltay
نکلتا,nikalta
نکالتا,nikalta
نکالنا,nikalna
نکالیں,nikalen
نکالے,nikalay
نکالا,nikala
نکل,nikal
نکاح,nikah
نکالنے,nikaalte
نکالی,nikaali
نکال,nikaal
نکا,nika
نجات,nijaat
نیلی,niilii
نہایت,nihayat
نہاں,nihaan
نگہداشت,nighdasht
نگلنے,nighalnay
نگہبانی,nigehbani
نگہبان,nigehbaan
نگاہیں,nigehain
نگل,nigal
نگاہوں,nigahon
نگاہ,nigah
نفاق,nifaq
نڈر,nidar
ندا,nida
نباہنے,nibaahane
نیاز,niaz
نگا,ngaa
نیو,new
نشانوں,neshano
نعمتوں,nematon
نعمت,Nemat
حصے,nekokaar
نیکی,neki
نہریں,nehrein
نہر,neher
نیگ,neg
نیز,neez
نیویں,Neeween
نیند,neend
نیچی,neechi
نیچے,neechay
نیچا,neecha
نے,ne
نچوڑتا,nchorhta
نبٹا,nbta
نذر,nazir
نازل,nazil
نزدیکیوں,nazdikiyon
نزدیکی,nazdeeqi
نزدیک,nazdeek
نظر,nazar
بدلو,Nazar
نازاں,Nazaan
ناز,naz
نئے,naye
نیازی,nayazi
نیا,naya
نوازا,nawaza
نواز,Nawaz
سمجھی,nawaqif
خریدتے,natwani
ناطق,Natiq
نصرانیوں,nasranion
نصرانی,nasrani
نسلی,nasli
نصیبہ,Nasiba
ناشکرے,nashukray
ناشکرا,nashukara
نشین,nasheen
نشے,nashay
نشہ,nasha
نصیحت,naseehat
نصیبی,naseebi
نصیب,naseeb
نصاری,nasari
نصاریٰ,nasari
نسر,nasar
ناسمجھ,nasamajh
نسل,nasal
نرمی,narmi
نری,nari
ناراضی,narazi
نرے,naray
نرم,naram
ناراض,naraaz
نر,nar
نقشے,naqshay
نقشہ,naqsha
نقش,naqsh
ناقہ,naqa
ناپسند,napasand
ناپاک,napak
ناپاکی,napaaki
ننگا,nanga
نان,nan
ناموری,namwari
نامراد,namuraad
نمود,namood
نمونہ,namona
نمازوں,namazon
سنی,namazion
نمازی,namazi
نمازیں,namazain
نمازِ,namaz-e
نماز,namaz
نامردی,namardi
نامہ,nama
نالائق,nalaiq
نالا,nala
نیکیوں,nakiyon
ناخوش,nakhush
ناخلف,nakhlf
ناکے,nakay
ناکام,nakaam
نجاست,najasat
ناجائز,najaaiz
نیزے,naizay
ناانصافوں,nainsafoon
نیکوکاروں,naiko karon
نیکو,naiko
نیکیاں,naikian
نیک,naik
نائب,naib
نئی,nai
پلٹنا,nahosat
نهیں,nahin
نہیں,nahi
نہيں,nahi
نہائے,nahaye
نہانے,nahanay
نہ,nah
ناگواری,nagwari
ناگوار,nagawaar
ناگاہ,nagah
نفس,nafs
نفرت,nafrat
نفقہ,nafqa
نفع,naffa
جھیلتی,nafees
نافرمانیوں,Nafarmanion
نافرمانی,nafarmani
نافرمان,nafarman
نافرماں,nafarmaan
نعمتیں,naematain
ندیاں,nadyaan
ناداری,nadari
نادانی,nadani
نادار,nadaar
نادان,nadaan
ناچار,nachar
ناچاقی,nachaki
نبوت,nabuwat
نابود,nabood
نبیوں,nabiyo
نابینا,nabina
نبی,nabi
معیّن,naazuk
ناتواں,naatvaan
ناقص,naaqis
ناپ,naap
نامور,naamwar
ناموں,naamon
نام,naam
نالے,naalay
ناخن,naakhun
ناک,naak
ناانصافی,na-insafi
ناحق,na-haq
ناامید,na umeed
ناشکری,na shukri
ڈرا,na shukar
ناخوشی,na khushi
نافرمانوں,na farmanoon
نادانستہ,na danista
نا,na
مضطرب,muztarib
مذمت,muzammat
مضائقہ,muzaika
میسر,muyassar
مواخذہ,muwakhza
متوسط,Mutwast
متوجہ,mutwajjah
مطمئن,mutmaen
مٹھی,muthi
متحمل,muthammil
متفق,mutfiq
برخاست,Mutee
متکبر,mutaqabbir
مطالبہ,mutalba
مطلع,mutala
بھتیجوں,mutafarraq
مطابق,mutabiq
مستحق,mustahiq
ہدہد,muskura
مصیبتوں,musibaton
مشرک,mushriq
مشرکوں,mushrikon
مشکل,mushkil
مشک,mushk
مشعر,Musher
مشاورت,mushawarat
مشقت,mushaqqat
مصیبت,museebat
مژدہ,Musda
مسندیں,musannaden
سنگار,musalsal
مسلمانوں,musalmanoon
مسلمانو,musalmano
مسلمان,musalman
مسلط,musallat
مصاحب,musahib
مسافروں,musafiron
مسافر,musafir
چیونٹیوں,murr
مرجھائی,murjhaye
مردے,murdy
مردار,murdaar
مردہ,murda
مرادوں,muradon
مقتدی,Muqtadi
مسلسل,muqeem
مقرر,muqarrar
مقررہ,muqarara
مقر,muqar
مُقِر,muqar
مقدمہ,muqadma
مقدر,muqaddar
مقابلہ,muqaabla
منتظر,muntazir
منکروں,munkiroon
منکر,munkir
مناسب,munasib
منقش,munaqash
منافقوں,munafiqon
منافق,munafiq
منادی,munaadi
منہ,mun
دہنے,mulazmat
ملائکہ,mulaika
مختلف,mukhtalif
مختار,mukhtaar
مخالف,mukhalif
مخالفت,mukhalfat
مقررکر,mukarkar
مجرموں,mujrimon
مونھوں,mujrimo
مجرم,mujrim
مجرے,mujray
مجھی,mujhi
مجھے,mujhe
مجھ,mujh
مجرا,mujara
محیط,muheet
مہیا,muhayya
مہاجرین,muhajreen
محافظ,Muhafiz
اگاتی,mughfirat
مفلسی,muflisi
مفصل,mufasil
مدین,Mudin
مدتوں,muddaton
مدت,muddat
مبارک,mubarak
مباہلہ,mubahla
معزز,Muaziz
جوروئیں,muayyan
معائنہ,muaina
معافکر,muafkar
متکبروں,mtkbron
مشرکہ,mshrk_h
مرجاتا,mrjata
مرجاؤں,mrjaon
مریں,mrin
مرادیں,mradin
مرا,mra
موضع,moza
موت,mout
موڑ,mourr
مورت,mourat
موج,mouj
موتی,moti
معتمد,motamad
موسلا,mosla
مور,more
موڑے,moray
مراد,morad
موقوف,moqoof
موقعوں,moqaon
موسیٰ,moose
مورتیں,moorten
مولیٰ,Mooli
معتبر,mooatbar
مونہوں,monhon
مونگا,monga
منی,money
ممانعت,momanat
مولوں,moloon
مول,mol
موجود,mojood
محتاجوں,mohtajon
محتاجی,mohtaji
محتاج,mohtaaj
مہلت,mohlat
مہر,mohar
مہُر,mohar
محمد,Mohammad
محکم,mohakam
مہاجر,mohajir
محبت,mohabbat
معذرت,moazrat
مؤاخذہ,moakhza
موجوں,moajoon
معاہدہ,moahida
مندو,mndo
ملّت,mllt
ملِک,mlِk
ملتے,mlitay
مجلسوں,mjlson
مزاج,mizaaj
انتہا,miyana
میاں,miyan
مٹنا,mitna
مٹاتا,mitata
مٹا,mita
مٹ,mit
مثل,misl
مسکینوں,miskeeno
مصر,misar
مثالیں,misalein
مثال,misaal
جِنوں,miqdaar
منت,minnat
میںآ,minaa
ملتا,milta
ملنی,milni
ملنے,milnay
ملنا,milna
ملتی,millti
ملی,mili
ملے,miley
ملیں,milein
ملائے,milaye
ملایا,milaya
ملاوٹ,milawat
ملاؤ,milau
ملاتے,milatay
مِلاتا,Milata
ملاپ,milaap
ملانے,milaane
ملا,mila
مِلا,mila
مل,mil
میل,mil
میکائیل,mikaeel
مہیاکر,mhyakr
مہرکر,mhrkr
پالکوں,mhmandari
یاس,mhajron
مفسدوں,mfsdon
میعاد,meyaad
میوے,meway
دوری,mewa
میری,meri
میرے,mere
میرا,mera
منات,menat
میلے,melay
میں,mein
ميں,mein
محو,mehv
محرم,Mehram
محنت,mehnat
مہمانوں,mehmanon
مہمانی,mehmani
محلوں,mehloon
محفوظ,mehfooz
محض,mehez
محبوب,mehboob
مہربانی,meharbani
مہربان,meharban
مہربانوں,meharbaanoun
محل,mehal
میٹھا,meetha
میٹ,meet
میراث,meeras
مینھ,meenh
مینہ,meen
مکہ,mecca
برتتے,mean
مضمون,mazmoon
مظلوم,mazloom
مذکور,mazkoor
مزدوری,mazdoori
مضبوطی,mazbooti
مضبوط,mazboot
مذاق,mazaaq
مزہ,maza
مزا,maza
مایوس,mayoos
مویشیوں,maweshion
مویشی,maweshi
موافق,mawafiq
مولا,maula
مٹی,matti
مطلب,matlab
متاع,Mataa
مت,mat
مستی,masti
مصرف,masraf
مسور,masoor
مسمار,masmaar
متفرق,maslan
مسئلہ,masla
مسخرہ,maskhara
مسخر,maskhar
مسکین,maskeen
مسجدوں,masjidoon
مسجدیں,masjiden
مسجد,masjid
معصیت,masiat
مشوروں,mashwaron
مشورے,mashwaray
مشورت,mashwarat
مشرقوں,mashriqon
مشرق,mashriq
مشغول,mashgool
مشغلہ,mashgala
مسح,maseh
مسیح,maseeh
مرضی,marzi
مرض,marz
مریم,maryam
مروہ,marwah
ماروت,Maruat
مارتی,martii
مرتے,martay
مرتبہ,martaba
مروں,maroon
معروف,Maroof
مارو,maro
مرو,maro
مرنے,marnay
مرنا,marna
مرجاؤ,marjao
مرجع,marja
مرے,marey
رومی,marey
مریض,mareez
مردود,mardood
مردوں,mardon
مرَدو,mardo
مرد,mard
ماریں,marain
مارا,mara
مر,mar
مقتول,maqtool
مقصود,maqsood
معقول,maqool
مقدوری,maqdoori
مقدور,Maqdoor
مقبول,maqbool
مقرب,Maqarrab
مقربِ,maqarrab
مقام,maqam
